model_name,scenarios,parsed,unparsed,error,parsed_rate,mean_composite,mean_response_chars,dominant_error_type
google/gemini-2.5-pro,1,1,0,0,1.0,0.9,187.0,
google/gemini-3-flash-preview,1,1,0,0,1.0,0.9,185.0,
google/gemini-2.5-flash,1,1,0,0,1.0,0.85,181.0,
